Date,Hammer Time,Open,High,Low,Close,Previous 1Hr Fall,Max Move Next 30 Min,SL Hit,SL Hit Time
2018-12-27,2018-12-27 11:00:00,27129.8,27134.2,27103.8,27123.8,212.5,0.0,True,2018-12-27 11:05:00
2019-01-09,2019-01-09 14:15:00,27526.7,27532.2,27491.3,27530.1,295.9,94.3,False,
2019-01-21,2019-01-21 10:15:00,27563.9,27568.8,27538.9,27568.5,215.3,13.0,False,
2019-01-29,2019-01-29 13:30:00,26535.4,26535.9,26510.7,26531.2,226.9,25.5,True,2019-01-29 13:40:00
2019-02-01,2019-02-01 13:05:00,27509.6,27512.3,27473.9,27498.3,273.2,24.6,True,2019-02-01 13:15:00
2019-02-01,2019-02-01 14:30:00,27034.4,27036.5,26930.4,27012.0,438.6,180.6,False,
2019-02-04,2019-02-04 14:20:00,27118.6,27127.6,27093.3,27124.8,250.5,119.0,False,
2019-03-13,2019-03-13 10:15:00,28546.6,28550.3,28499.8,28535.1,308.4,44.3,False,
2019-03-18,2019-03-18 10:45:00,29467.2,29493.3,29361.7,29486.6,361.8,64.6,False,
2019-03-22,2019-03-22 10:45:00,29774.8,29776.4,29708.2,29763.8,267.9,13.0,False,
2019-03-22,2019-03-22 14:25:00,29638.1,29664.4,29592.1,29654.2,201.9,23.2,False,
2019-03-22,2019-03-22 14:50:00,29646.9,29648.1,29621.0,29638.3,204.3,13.6,True,2019-03-22 15:00:00
2019-03-27,2019-03-27 14:50:00,30096.6,30097.2,30042.6,30082.2,374.0,37.0,True,2019-03-27 15:00:00
2019-03-28,2019-03-28 14:00:00,30398.9,30412.0,30360.6,30412.0,270.1,32.4,False,
2019-03-28,2019-03-28 14:10:00,30404.8,30416.8,30387.9,30413.2,257.9,31.2,True,2019-03-28 14:35:00
2019-04-04,2019-04-04 11:55:00,29999.7,29999.7,29911.9,29975.4,202.8,270.3,False,
2019-04-04,2019-04-04 12:30:00,30154.4,30163.6,30112.8,30143.3,333.8,42.4,False,
2019-04-04,2019-04-04 12:35:00,30142.8,30146.7,30098.8,30130.8,333.8,54.9,False,
2019-04-04,2019-04-04 12:45:00,30128.5,30129.5,30083.3,30117.2,333.8,68.5,False,
2019-04-04,2019-04-04 14:20:00,29930.3,29938.1,29878.7,29935.8,333.0,28.3,True,2019-04-04 14:30:00
2019-04-04,2019-04-04 14:35:00,29845.1,29867.5,29809.9,29859.4,400.0,88.5,False,
2019-04-04,2019-04-04 14:50:00,29909.8,29909.8,29869.2,29896.8,361.9,51.1,False,
